










conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 8%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
